iter	Passed	Remaining
951	4722	238
952	4726	233
953	4731	228
954	4735	223
955	4739	218
956	4742	213
957	4747	208
958	4750	203
959	4754	198
960	4758	193
961	4762	188
962	4765	183
963	4770	178
964	4773	173
965	4776	168
966	4779	163
967	4783	158
968	4786	153
969	4789	148
970	4793	143
971	4797	138
972	4803	133
973	4808	128
974	4812	123
975	4815	118
976	4818	113
977	4822	108
978	4826	103
979	4830	98
980	4833	93
981	4836	88
982	4840	83
983	4844	78
984	4847	73
985	4851	68
986	4854	63
987	4858	59
988	4861	54
989	4866	49
990	4870	44
991	4875	39
992	4879	34
993	4884	29
994	4888	24
995	4891	19
996	4896	14
997	4899	9
998	4902	4
999	4905	0
